startTime(s),AoINumber,AoIBCEA,AoIBCEADisp,AoILempelZiv
0.0,3.0,6550.53501570729,3458.289735122133,8.0
3.26,3.0,10380.044903336628,4397.341246810355,10.0
6.52,3.0,10434.29320529161,4214.661877077923,9.0
9.78,3.0,5061.8654575307855,2190.477201566041,10.0
13.04,3.0,6722.602718930485,939.9308723694552,9.0
16.3,3.0,4430.124021892284,413.3480022821691,9.0
19.56,3.0,4309.904884937039,293.12886532692437,9.0
22.82,3.0,4744.117710518177,2942.333414476368,10.0
26.08,3.0,5829.733952691028,2942.333414476368,9.0
29.34,3.0,5315.9026876414755,2888.0035364390383,9.0
32.6,3.0,4917.18522070356,2394.853712151175,10.0
35.86,4.0,2193.3947153026297,1259.1301527433402,10.0
39.12,4.0,2227.743054024322,1293.4784914650327,11.0
42.38,4.0,2692.078998382247,2234.7683262033875,11.0
45.64,4.0,2282.232883162668,1824.9222109838083,12.0
48.9,4.0,3831.5466118792665,2597.0284100322756,10.0
52.16,4.0,3709.214678776607,2706.0030339186674,10.0
55.42,3.0,8975.387305676597,1880.3449157632924,9.0
58.68,3.0,9556.38174738208,1956.3281781960156,11.0
61.94,3.0,6111.758030522692,2012.1341145852693,8.0
65.2,3.0,11391.513557507977,2833.0157859315004,8.0
68.46,2.0,32918.63285927481,21077.540492640655,7.0
71.72,3.0,7483.241631459637,2678.6768011372797,8.0
74.98,2.0,44202.606567461655,37395.05780302918,6.0
78.24,3.0,6360.299472776569,5677.940754657194,6.0
81.5,3.0,6633.245129905583,5213.649322962693,8.0
84.76,3.0,6896.058281848072,2713.0809490158754,10.0
88.02,3.0,6296.274123943556,3142.2158122280002,10.0
91.28,3.0,5646.520161723304,165.31594345008793,11.0
94.54,3.0,5646.520161723304,165.31594345008793,11.0
97.8,3.0,7412.692457049124,861.8258662743407,11.0
101.06,3.0,6729.483460158993,527.9072601151189,11.0
104.32,3.0,8745.462373458622,1659.7280339083081,9.0
107.58,3.0,8488.21961083266,1767.3355306722613,10.0
110.84,2.0,27900.048007581318,23623.38005984851,7.0
114.1,2.0,28823.53268906773,22699.895378362096,8.0
117.36,3.0,3486.6203129994906,1051.782257999716,9.0
120.62,3.0,5960.786001174473,1706.4829985125132,9.0
123.88,3.0,5333.192576406637,1414.8291800330635,10.0
127.14,3.0,6898.199604784418,2326.0357232207743,9.0
130.4,3.0,7056.543385924803,2146.8778058399516,9.0
133.66,3.0,6127.780651760641,1550.4343150611594,10.0
136.92,3.0,5526.755603660902,1831.1492346080613,10.0
140.18,3.0,3843.881766135182,1073.3653059605606,10.0
143.44,3.0,3659.1197619891514,1102.30597868903,10.0
146.7,3.0,9039.786406833528,3468.7931025433622,10.0
149.96,3.0,8808.211810907675,3148.727279561368,11.0
153.22,3.0,9458.278982904958,3432.3316667530657,11.0
156.48,3.0,9971.058757580811,3175.8018647566073,10.0
159.74,4.0,2410.183840261705,1029.3783072829392,10.0
