startTime(s),AoINumber,AoIBCEA,AoIBCEADisp,AoILempelZiv
0.0,4.0,2221.8244192175525,211.1751504946339,13.0
0.498,4.0,2178.5590548145483,254.44051489763837,14.0
0.996,4.0,2178.5590548145483,254.44051489763837,14.0
1.494,4.0,1904.7714953617074,528.2280743504793,12.0
1.992,3.0,3400.3918365314203,1079.241127016235,11.0
2.49,3.0,3482.4868594657946,1161.3361499506098,10.0
2.988,3.0,3482.4868594657946,1161.3361499506098,10.0
3.486,3.0,3283.3782336815852,1981.7610202440158,10.0
3.984,3.0,3306.439639379019,2004.8224259414492,10.0
4.482,3.0,3457.2523254728007,2155.6351120352315,10.0
4.98,3.0,5044.574476270103,854.0179048564893,11.0
5.478,3.0,5044.574476270103,854.0179048564893,11.0
5.976,3.0,5701.918030974067,973.4696243150753,10.0
6.474,3.0,5701.918030974067,973.4696243150753,10.0
6.972,3.0,4439.029874148758,838.0535158865003,10.0
7.47,3.0,4439.029874148758,838.0535158865003,10.0
7.968,3.0,4500.1405449397425,776.9428450955152,11.0
8.466,3.0,3820.7099904640527,673.57791398195,10.0
8.964,3.0,3922.7058268664564,673.57791398195,10.0
9.462,3.0,3805.0209730507577,673.57791398195,10.0
9.96,3.0,4943.035938442342,1811.5928793735336,10.0
10.458,3.0,5963.69863681112,2832.2555777423113,9.0
10.956,3.0,5935.207379667675,3351.590500998362,9.0
11.454,2.0,5996.0796858464555,4812.851738909722,7.0
11.952,3.0,6711.925761122092,2635.9123196118167,9.0
12.45,3.0,6711.925761122092,2635.9123196118167,9.0
12.948,3.0,6646.36112607546,2635.9123196118167,9.0
13.446,3.0,5872.417680311926,3745.99981664394,9.0
13.944,2.0,9598.47646020444,1639.5229897273807,7.0
14.442,2.0,9107.18036988963,2130.819080042191,7.0
14.94,2.0,9107.18036988963,2130.819080042191,7.0
15.438,2.0,9003.363363383858,2234.636086547963,8.0
15.936,2.0,8725.075193289093,2512.9242566427283,8.0
16.434,2.0,8692.234001842888,2545.765448088932,7.0
16.932,2.0,8562.843985363008,2675.155464568811,8.0
17.43,2.0,8499.311309749439,2738.688140182381,8.0
17.928,2.0,8499.311309749439,2738.688140182381,8.0
18.426,2.0,8449.581868596686,2788.417581335134,8.0
18.924,2.0,8420.844019841763,2817.155430090056,9.0
19.422,2.0,8420.844019841763,2817.155430090056,9.0
19.92,2.0,8425.568005484174,2812.4314444476454,9.0
20.418,2.0,8549.058430092307,2688.941019839512,8.0
20.916,2.0,8416.157628311923,2821.841821619897,9.0
21.414,2.0,8311.463227012997,2926.536222918823,9.0
21.912,2.0,8216.911765594567,3021.0876843372544,9.0
22.41,2.0,8192.716408582326,3045.2830413494935,9.0
22.908,3.0,1715.8111224109443,1715.8111224109443,10.0
23.406,2.0,2781.5146440518934,2781.5146440518934,8.0
23.904,2.0,2861.8911206177627,2861.8911206177627,8.0
24.402,2.0,2832.634140770245,2832.634140770245,8.0
