startTime(s),SpLength,SpBCEA,SpConvexHull,SpFractalDimension,SpRQARecRate
0.0,13050.120905173264,262264.3730330915,399106.569700958,1.8511605174032688,0.11737089201877934
0.498,12836.522260871814,262131.4419843558,399106.569700958,1.8824128071085426,0.12072434607645875
0.996,12385.375525922245,260357.29513446827,399106.569700958,1.8668530746276,0.12422360248447205
1.494,12637.48455313599,259563.5983856755,399106.569700958,1.8606917143927673,0.12422360248447205
1.992,12051.68870420261,260740.26618595156,399106.569700958,1.8463147816494163,0.1278772378516624
2.49,11827.792706476968,254976.45287633312,399106.569700958,1.8190828336767932,0.12422360248447205
2.988,12200.26874486699,259961.02213081502,399106.569700958,1.8359559272480213,0.12422360248447205
3.486,12613.092712903082,257201.2924164148,399106.569700958,1.8618011363598441,0.12072434607645875
3.984,12247.674948557,250805.03365166832,399106.569700958,1.859991029241362,0.12072434607645875
4.482,12138.64379187642,247739.72845196744,399106.569700958,1.8584038154237703,0.12422360248447205
4.98,11483.786244108576,226433.16857418814,326039.18136035465,1.8343419717732519,0.1278772378516624
5.478,11561.940297880887,225004.39716943013,326039.18136035465,1.8263029256040746,0.1278772378516624
5.976,11517.517306320904,223652.5928195868,326039.18136035465,1.8232619857505545,0.13169446883230904
6.474,11488.681096701617,223833.5183752716,326039.18136035465,1.8522961199295658,0.13568521031207598
6.972,11219.105561503166,229443.0685901629,326039.18136035465,1.8199099627547046,0.13169446883230904
7.47,11219.256368551092,234096.484392073,326039.18136035465,1.8234370868151075,0.13169446883230904
7.968,11689.236448198688,240750.7424746306,326039.18136035465,1.8504470825989285,0.08779631255487269
8.466,11432.045853898897,238039.72323879934,323910.08694995544,1.8721001482188817,0.09045680687471733
8.964,11914.641542921514,232972.15173514307,323910.08694995544,1.885615022818324,0.08525149190110827
9.462,11325.706637721603,229000.38240692957,323910.08694995544,1.880040599006251,0.09045680687471733
9.96,10943.23026691744,224867.51301364423,326131.576618697,1.8549353168491698,0.045228403437358664
10.458,10888.47095244197,221108.43918260082,322555.59801336867,1.8802513724943994,0.043898156277436345
10.956,10844.036437590106,219049.97627792673,322555.59801336867,1.8787711270299416,0.043898156277436345
11.454,10585.605005179474,209295.70582962278,322086.03041310667,1.8666326906852106,0.045228403437358664
11.952,10212.25898105003,196590.92764318583,306307.5598302294,1.8568911006798154,0.046620046620046623
12.45,10341.587612890722,191239.56284883252,304010.06365667656,1.8552527779137968,0.045228403437358664
12.948,10010.544973695873,183598.33628694434,304010.06365667656,1.8564982916794264,0.046620046620046623
13.446,10063.184565442685,173193.5552263595,282663.6361745484,1.8553084705987295,0.045228403437358664
13.944,9478.806199520046,174095.05089309206,261287.07449786272,1.8592868569987917,0.045228403437358664
14.442,9750.566471716606,176151.31012331444,261287.07449786272,1.8649022185240325,0.045228403437358664
14.94,9726.862992083925,177271.24404142232,261287.07449786272,1.8458593511395842,0.045228403437358664
15.438,9666.490706915589,179109.88952785314,264646.86581370153,1.8678273502891256,0.045228403437358664
15.936,9405.92532560754,180870.71923739868,274159.0176929239,1.8353859893605595,0.09045680687471733
16.434,9335.19225985947,180178.5131208797,276795.00015555206,1.825075434327434,0.09324009324009325
16.932,9462.034911608524,181906.6301034169,278774.44872482657,1.8338784056399853,0.09324009324009325
17.43,9530.906071067675,182349.51514154155,278774.44872482657,1.842927617460779,0.09324009324009325
17.928,9488.070224882256,186724.78793444924,288086.5926470604,1.8223056806314335,0.045228403437358664
18.426,9028.888056440283,197877.33116212432,298794.971160267,1.7445048269470056,0.0
18.924,9415.855776130535,193134.62265282913,298794.971160267,1.8090739190728493,0.0
19.422,8788.188942216206,188399.00971288886,298794.971160267,1.776372122360491,0.0
19.92,8807.085703288092,190890.66596845622,298794.971160267,1.7799867947069665,0.0
20.418,9266.892612864953,198491.09259590914,298794.971160267,1.823248128828605,0.0
20.916,9157.15408768237,202270.91468126854,298794.971160267,1.8257116194615561,0.0
21.414,8925.58039753844,197428.22733709216,298794.971160267,1.8157792001278512,0.0
21.912,9423.390939534298,200044.5029026101,298794.971160267,1.8085058861937189,0.0
22.41,8999.773560038717,203813.38631333565,300146.6850526242,1.7891531518082084,0.0
22.908,8936.25000043042,202926.8784204504,300146.6850526242,1.7794173017052726,0.0
23.406,9177.105716963102,213602.7115121724,300146.6850526242,1.7725884142228463,0.0
23.904,9698.285783770963,218223.51580977312,304685.3880593226,1.8014248359836755,0.0
24.402,9738.533567188579,221341.88709075475,335990.9876992849,1.7899078123504248,0.0
