startTime(s),AoINumber,AoIBCEA,AoIBCEADisp,AoILempelZiv
0.0,16.0,7216.247255234135,6998.737056906075,36.0
0.5,17.0,6413.184524701576,6201.094405677245,37.0
1.0,17.0,5968.333168071522,5756.243049047189,37.0
1.5,18.0,5890.695459790049,5660.892213124489,38.0
2.0,16.0,7993.922413260658,7382.92610444369,37.0
2.5,15.0,9872.51994579033,9094.589832632892,37.0
3.0,14.0,8476.074628798056,7585.131963472772,35.0
3.5,15.0,6053.850118186181,4821.308444403852,37.0
4.0,16.0,5376.572521850566,4619.843902723813,37.0
4.5,15.0,6828.874619946642,4522.03573885517,38.0
5.0,15.0,7200.5150458818725,4150.39531291994,38.0
5.5,14.0,7465.753693266683,4115.683327120862,38.0
6.0,14.0,7462.131618144367,4112.061251998546,37.0
6.5,14.0,6943.713209367428,3619.09377329528,38.0
7.0,13.0,8545.097343444582,4398.884261030712,36.0
7.5,13.0,10077.505848119143,5947.284298691464,36.0
8.0,14.0,9531.09729697157,5899.2843753534735,37.0
8.5,14.0,9636.291529485006,6019.995943815612,36.0
9.0,13.0,11223.319344522839,6645.487957371627,36.0
9.5,12.0,12890.1812315339,7743.270462569054,35.0
10.0,13.0,12264.4132997982,9197.570099235094,36.0
10.5,13.0,12554.458048181596,9487.614847618488,35.0
11.0,12.0,14631.109374591239,9555.947239924912,35.0
11.5,12.0,16417.307593278692,9301.738916599372,35.0
12.0,13.0,16231.153140099863,10126.270887707884,35.0
12.5,14.0,14053.756537801239,10965.371902030372,36.0
13.0,13.0,14972.958766861762,10719.827876907568,35.0
13.5,13.0,12663.441950914686,9261.346655805351,34.0
14.0,14.0,9841.881988985333,7634.672397247965,36.0
14.5,13.0,11352.569031328167,8301.724647136576,36.0
15.0,14.0,10419.664180795258,7784.05731338856,37.0
15.5,15.0,12044.30275866741,10022.112956285717,38.0
16.0,15.0,12022.085111190452,9239.707892135537,38.0
16.5,14.0,12802.461234123566,9374.635719337006,38.0
17.0,14.0,12418.133809533127,9112.640071867969,38.0
17.5,14.0,12150.965304999516,10234.740763586522,35.0
18.0,15.0,11396.646870722345,9642.267679972989,37.0
18.5,14.0,13732.440100546568,11226.40494830981,36.0
19.0,13.0,15460.916501140262,12658.50300702319,35.0
19.5,13.0,13634.547144588618,11312.546802865707,36.0
20.0,13.0,14187.619655857268,11910.017816274749,36.0
20.5,14.0,12503.236832190198,10280.361465124815,36.0
21.0,15.0,10261.903994935568,8067.9613366110325,35.0
21.5,15.0,10673.227189116462,8733.696346064708,36.0
22.0,15.0,9982.903040274805,8043.37219722305,36.0
22.5,16.0,6670.736370010527,5614.392058970341,35.0
23.0,17.0,5344.700579251371,4539.021195721177,37.0
23.5,16.0,6664.839384289511,5265.284703796869,37.0
24.0,14.0,9720.86935268436,7323.489114603545,36.0
24.5,15.0,8479.885498454694,6033.377821456586,37.0
