startTime(s),SpLength,SpBCEA,SpConvexHull,SpFractalDimension,SpRQARecRate
0.0,13888.11966468699,329947.874530408,454188.48339710763,1.8183056307639556,0.0
0.5,13826.672258282406,334390.6196640434,454188.48339710763,1.8164487903691744,0.0
1.0,13986.024742831672,335632.8452370704,454188.48339710763,1.816497518402584,0.0
1.5,13569.08001178272,333055.30227599386,454188.48339710763,1.7835390414708787,0.0
2.0,14066.138573588238,332705.65192639944,454188.48339710763,1.8160357558403264,0.0
2.5,13670.06181956007,322405.87607017404,437633.73411442386,1.7974571743249268,0.0
3.0,14023.223087125922,321928.1852305208,434672.62148096785,1.8193334022552548,0.0
3.5,13986.028439449223,316627.71377056814,433617.5270563596,1.8016338755398227,0.0
4.0,13791.6396330188,320037.108976532,434802.7476632703,1.7912982450428565,0.0
4.5,14084.483599630268,317630.17797558464,434802.7476632703,1.815574801330031,0.0
5.0,13884.307685563075,323311.65253048664,434802.7476632703,1.8146489612964307,0.0
5.5,13473.897111782833,325183.96171032573,434802.7476632703,1.808230636924519,0.0
6.0,13833.035234897421,319667.763512471,434802.7476632703,1.8199179449987177,0.0
6.5,13186.434017023652,322590.84253709257,434802.7476632703,1.8252966291202717,0.0
7.0,13536.349324767982,318680.7651218615,434802.7476632703,1.861772542033451,0.0
7.5,13285.183441895068,308419.2093257239,434802.7476632703,1.886314385805143,0.0
8.0,13042.900132179635,290140.2530973261,420737.8977471184,1.891490767028333,0.0
8.5,12773.797879843933,275018.2648326377,390684.9978938502,1.8881915932026156,0.10810810810810811
9.0,12987.29465798413,265666.85499141767,387040.20854745514,1.9219248916051235,0.1141552511415525
9.5,13061.973726157335,278999.8548272035,423383.13774844445,1.929324261325499,0.1141552511415525
10.0,12722.972921566829,300499.46765079274,436110.0950072155,1.907570199899385,0.1141552511415525
10.5,13062.94115167347,307011.34156336583,436110.0950072155,1.9122163283536668,0.0782472613458529
11.0,12699.587106785348,310060.635255254,436110.0950072155,1.9044875783832877,0.0782472613458529
11.5,12533.085827098792,310819.3647617511,436110.0950072155,1.8949910668299799,0.0782472613458529
12.0,12177.514484479741,311222.30275270104,436110.0950072155,1.89200400472015,0.08048289738430583
12.5,12369.069509991343,300099.00355447334,423172.23791623197,1.895591824794444,0.08048289738430583
13.0,12733.029919703264,291434.73172123247,405518.13202597236,1.9048460720629963,0.08048289738430583
13.5,12454.006950522571,286197.9341326279,401999.0600117721,1.8634393971862087,0.0782472613458529
14.0,12824.841336849251,283366.53323392424,401999.0600117721,1.9142389947981786,0.0782472613458529
14.5,12667.741898207483,282250.13361945376,401999.0600117721,1.9076896294958188,0.0782472613458529
15.0,12936.63021487489,275663.15221475105,401999.0600117721,1.9199047858451597,0.0782472613458529
15.5,12887.523949076474,264723.12956817093,396033.13912679086,1.9097928631203371,0.0782472613458529
16.0,12616.397329101996,261263.56740807014,390570.293283909,1.8993844838197413,0.0782472613458529
16.5,12493.751009163478,257362.6752055492,390570.293283909,1.8952397471184808,0.0782472613458529
17.0,12700.97981213559,249952.15688529608,388468.4265009139,1.9030755012534653,0.08048289738430583
17.5,12654.421051871268,243602.97799189485,366990.54788322607,1.9021755732119703,0.0782472613458529
18.0,12809.798640028925,230040.718455045,354008.8584817624,1.9018105126583498,0.08048289738430583
18.5,12338.613607993704,229397.25722015745,347207.79319310724,1.8790200911428248,0.08048289738430583
19.0,12616.633362713623,239028.89242117127,351479.226426707,1.881012516053823,0.0782472613458529
19.5,12607.348605122319,245397.699007309,351479.226426707,1.897543986706928,0.08281573498964803
20.0,12417.57943900831,248166.0793015708,351479.226426707,1.8922962998401693,0.12422360248447205
20.5,12267.160450976835,246361.23478129934,351479.226426707,1.8937287915904815,0.08281573498964803
21.0,12310.067713777005,246717.62516207024,351479.226426707,1.8757750377955795,0.08048289738430583
21.5,12275.177256180448,250799.45919879034,351728.26395395596,1.8693700573356007,0.08048289738430583
22.0,12086.694348506919,255694.89656838847,356545.99190579995,1.8581620196754496,0.08281573498964803
22.5,11678.807215453631,258694.14445362243,347336.7962773008,1.8449347686690976,0.08281573498964803
23.0,11730.974648942478,259112.8816515409,347336.7962773008,1.8442662726040533,0.08281573498964803
23.5,11408.746988547338,258484.3406275735,347336.7962773008,1.8548007735516,0.08525149190110827
24.0,11881.130083173697,259624.05089144423,352886.4484785808,1.8454510917046167,0.08525149190110827
24.5,11955.301251425255,265274.320832743,363131.45991962345,1.8616117209773722,0.08525149190110827
