startTime(s),AoINumber,AoIBCEA,AoIBCEADisp,AoILempelZiv
0.0,11.0,10960.355422156801,6435.614630076135,34.0
0.498,10.0,11665.788933675245,7393.6838831116675,33.0
0.996,10.0,11850.690400351732,7771.324733079503,33.0
1.494,10.0,11656.77966975346,7478.328867839725,33.0
1.992,10.0,11791.41134123655,7283.755708257026,34.0
2.49,10.0,11959.436372392109,7391.9594431058595,34.0
2.988,10.0,12078.061824742681,7588.747045090095,34.0
3.486,10.0,11944.410069656884,7722.398800175892,34.0
3.984,9.0,13039.928573477027,7613.044563361926,33.0
4.482,9.0,12835.969451267185,7329.561116791369,34.0
4.98,9.0,12485.056869198896,7535.103330829019,32.0
5.478,11.0,8136.849514374848,4600.311720520087,34.0
5.976,11.0,10027.702044034719,6491.164250179957,34.0
6.474,10.0,11185.328262144689,7843.220832237925,32.0
6.972,10.0,6727.296242045345,3385.188812138581,33.0
7.47,10.0,6481.583793507082,2984.060146390519,34.0
7.968,11.0,5107.696161950326,3467.6000164782836,34.0
8.466,9.0,6503.188589378709,3220.8348585794283,31.0
8.964,9.0,5885.050333364441,2869.4482888491475,31.0
9.462,9.0,5775.002523557716,2817.1309619914687,32.0
9.96,8.0,7176.645371055446,3760.4055532311722,31.0
10.458,9.0,6384.010164382224,2577.7756501404856,33.0
10.956,9.0,7605.730598133083,3681.887121178685,32.0
11.454,10.0,6079.599977306932,2862.4382293021204,33.0
11.952,11.0,7441.729682358781,5099.271036885529,35.0
12.45,11.0,6032.7417082132515,3171.4369330863624,35.0
12.948,10.0,5544.71284174783,2662.2244579655894,33.0
13.446,9.0,5725.3312475414605,3682.757369621546,33.0
13.944,9.0,5783.794319860201,3741.2204419402865,31.0
14.442,10.0,4170.832526547365,2328.2669509537664,33.0
14.94,10.0,5118.301140448724,2719.599972055932,32.0
15.438,11.0,3816.248457325506,2739.2568866168453,32.0
15.936,10.0,6339.949021423168,4810.8872813371945,32.0
16.434,10.0,7533.955967164968,6430.476317430055,31.0
16.932,10.0,7553.733703257663,5654.926974294087,32.0
17.43,9.0,12243.787847797992,10510.093785670711,32.0
17.928,8.0,15029.247886251063,12191.690429899538,31.0
18.426,10.0,8948.669327009899,6596.884961172736,34.0
18.924,11.0,8155.216936939601,7062.244267510229,35.0
19.422,11.0,6776.3711845468,6510.787910733441,35.0
19.92,11.0,6872.744264414952,6556.350875557104,35.0
20.418,12.0,6570.387188676043,5938.651645934605,36.0
20.916,13.0,6087.780500702789,5670.346989753657,37.0
21.414,14.0,5865.813339338864,5598.395603522791,38.0
21.912,15.0,3340.0445077745176,3109.7163042642705,40.0
22.41,17.0,2850.464135918481,2811.224325583475,39.0
22.908,17.0,3343.407521920977,3202.028763103611,38.0
23.406,18.0,4062.073606820297,4032.768510764361,38.0
23.904,19.0,3480.3419628344864,3427.1892765300117,42.0
24.402,20.0,2401.291023016075,2370.593606676816,41.0
