startTime(s),AoINumber,AoIBCEA,AoIBCEADisp,AoILempelZiv
0.0,12.0,15420.233485288678,11061.736934633715,35.0
0.5,11.0,18277.18337524838,14109.487587153939,34.0
1.0,10.0,19835.273042820532,14719.744066072464,32.0
1.5,9.0,22720.27341054803,16183.771968282232,32.0
2.0,10.0,19502.801919793135,14741.870747800425,33.0
2.5,11.0,15809.45523447977,11301.311889854269,36.0
3.0,10.0,19445.988228648668,14646.759602711527,34.0
3.5,10.0,18129.71465572653,13330.486029789387,33.0
4.0,11.0,17967.339944767256,11973.075765510985,35.0
4.5,11.0,16231.571715059852,10235.509249882352,36.0
5.0,12.0,15404.154870082013,11693.200893757989,37.0
5.5,12.0,15020.623742389018,11262.307297290694,37.0
6.0,12.0,14732.626643882344,10974.310198784015,39.0
6.5,13.0,14535.821011748312,12452.015423101084,37.0
7.0,13.0,14436.990420195243,11512.105042312984,37.0
7.5,12.0,14836.926472148518,10533.291648379787,36.0
8.0,13.0,11972.705842017127,9013.185239287921,37.0
8.5,13.0,10113.903332098176,7121.72188394655,37.0
9.0,13.0,9550.107655452319,7144.576165251531,38.0
9.5,14.0,8433.57625445709,5557.213987322096,39.0
10.0,14.0,8346.98007928386,5728.792088158742,38.0
10.5,15.0,7466.451326103908,5450.669706932435,39.0
11.0,15.0,7472.28707917709,5456.505460005616,40.0
11.5,14.0,9877.002212741843,8117.072214259715,39.0
12.0,13.0,10581.282166537141,7877.486670581295,37.0
12.5,13.0,9485.249882474327,5972.277000070339,36.0
13.0,13.0,9699.056425919163,6186.083543515176,37.0
13.5,14.0,9552.575572041489,6065.4971482500305,39.0
14.0,15.0,7928.718146764362,4736.467846383769,39.0
14.5,15.0,7714.171409095728,4268.053025278553,40.0
15.0,18.0,5011.346411782933,4325.4002429859,41.0
15.5,17.0,5939.865279843063,4982.428000006003,40.0
16.0,18.0,4287.548400132771,3944.1374406165432,41.0
16.5,17.0,5497.885045558344,5161.908028041627,39.0
17.0,16.0,6032.150763133407,5729.599400825657,39.0
17.5,16.0,6536.733529431222,6234.182167123472,39.0
18.0,16.0,5176.451127911805,4873.899765604054,40.0
18.5,16.0,5997.932302155397,5695.380939847647,40.0
19.0,17.0,5348.532008269446,4830.2029314516485,41.0
19.5,17.0,6432.081696053059,5913.752619235262,40.0
20.0,17.0,6134.043710244261,5234.502005300671,40.0
20.5,16.0,8503.713421377806,7299.777084439711,40.0
21.0,15.0,9129.548659025098,7450.5609831585425,39.0
21.5,16.0,7935.560489654899,6184.671609964581,40.0
22.0,17.0,7495.11341199971,5900.993123485875,41.0
22.5,18.0,5821.639267033315,5171.034318488849,42.0
23.0,17.0,7358.766750825646,6478.58048778121,41.0
23.5,17.0,6497.671031338974,5617.484768294539,40.0
24.0,17.0,6406.5038907446915,5996.544583752193,41.0
24.5,18.0,5818.695687942785,5304.584395484111,41.0
