startTime(s),SpLength,SpBCEA,SpConvexHull,SpFractalDimension,SpRQARecRate
0.0,8761.456933737629,339810.3512878578,448934.89315549284,1.3611055454798695,0.045228403437358664
0.5,9103.650948840375,358308.14980456536,457307.55952152825,1.3514539116029214,0.043898156277436345
1.0,9278.22112552971,362508.0580418253,457307.55952152825,1.3752066517116117,0.045228403437358664
1.5,9216.296328525546,363685.30895917787,457307.55952152825,1.392814353921974,0.046620046620046623
2.0,9319.921365536868,386360.60999542533,469627.31657695794,1.3877065514432863,0.043898156277436345
2.5,9192.610250959073,388703.8522844034,469627.31657695794,1.406380222681493,0.045228403437358664
3.0,9359.057190231126,378622.9553949254,468251.47906998394,1.4492245694640928,0.046620046620046623
3.5,9223.753317057017,366879.98657510034,464585.932345725,1.4034617972498922,0.046620046620046623
4.0,9322.540859478098,359556.3976764659,464585.932345725,1.436529256748504,0.09324009324009325
4.5,9243.788910598987,354025.5254332852,464585.932345725,1.4735709444482077,0.09324009324009325
5.0,9427.358969390014,353799.6110861815,466136.716812134,1.4883776246417582,0.09045680687471733
5.5,9248.133585917532,351889.62909531005,466136.716812134,1.4967168769478874,0.045228403437358664
6.0,9397.74745515249,343995.87885592284,466136.716812134,1.5030690915231375,0.043898156277436345
6.5,9138.343003023394,334755.0679411915,466136.716812134,1.5265109181782521,0.043898156277436345
7.0,9225.676751189767,346520.8487596273,466136.716812134,1.5605198449442144,0.043898156277436345
7.5,9056.452683777447,351652.1509890279,466136.716812134,1.6104789372399417,0.045228403437358664
8.0,9053.49106972095,346246.22184007574,466136.716812134,1.6382375965199556,0.046620046620046623
8.5,8607.354594962648,338132.1976474757,432473.8730581817,1.5789228299035192,0.046620046620046623
9.0,8722.151102980039,327878.6134584471,424498.14072782756,1.6097837173983396,0.046620046620046623
9.5,8582.649343797788,313650.8368847782,404537.20162353583,1.6144453561557626,0.046620046620046623
10.0,8332.249737698252,304450.67686171446,399679.01665680786,1.6213203275112797,0.046620046620046623
10.5,8169.203742412932,293452.9322254393,398600.02952623344,1.625650595738775,0.046620046620046623
11.0,8426.8724092123,300395.962230234,402765.41239325586,1.629882187221428,0.043898156277436345
11.5,8473.968406961205,320166.91022983805,425892.06491735904,1.6494094974208127,0.043898156277436345
12.0,8553.115314495946,327978.6126755976,438879.8007197033,1.6992222858650419,0.043898156277436345
12.5,8949.914030809598,318635.2926590188,438879.8007197033,1.7384826050925755,0.0
13.0,8648.775383346407,305150.369977663,438879.8007197033,1.7287380003409767,0.0
13.5,8430.152532601616,303291.3735400739,438879.8007197033,1.7248893558078828,0.0
14.0,8504.752005833565,298969.38575843937,438879.8007197033,1.702473265492776,0.0
14.5,8467.46345564941,304571.10834235564,438879.8007197033,1.6816157933020481,0.0
15.0,8539.947758095368,308438.8234061098,438879.8007197033,1.6836263847920736,0.0
15.5,8248.96499895779,315392.8491629955,438879.8007197033,1.6741402853829601,0.0
16.0,8011.424618287823,322586.566665078,441671.24655259075,1.6659966643817556,0.0
16.5,8065.4625903729575,321677.0704759998,442310.59392489295,1.6563531944949377,0.0
17.0,8031.244230597382,309208.22896259517,419423.8438892537,1.649287407521651,0.0
17.5,8614.505579479783,303950.11937659327,408877.7923754803,1.659113317020706,0.0
18.0,8485.609317135368,300612.06966950436,389082.5452418809,1.6574633321282488,0.0
18.5,8416.344333802577,314055.42368634086,409057.8898784579,1.6406522103033163,0.0
19.0,8477.355230499625,320398.7797028997,416728.5371436782,1.6262325066370893,0.0
19.5,8172.26485239831,323148.7909855928,431419.97713452764,1.6218125660062979,0.0
20.0,7797.309163544901,332569.81154221477,437189.86481918,1.6070670355879084,0.0
20.5,7538.918748942595,320814.16186893807,432321.31831074925,1.581680259111788,0.0
21.0,7506.518070333911,319567.049593823,432321.31831074925,1.6035372736261861,0.045228403437358664
21.5,7610.744612347583,320941.6481942509,432321.31831074925,1.613122234967151,0.043898156277436345
22.0,7723.6800555440705,310250.2585073197,429780.374916074,1.609774055315711,0.043898156277436345
22.5,7549.647040810577,316030.14490490925,429780.374916074,1.614817821965828,0.043898156277436345
23.0,7615.563665210875,322508.5784539133,434272.41816541867,1.6174590930120316,0.043898156277436345
23.5,7438.006843754042,331418.1698388142,434272.41816541867,1.6002439929232894,0.045228403437358664
24.0,7438.522989120818,334501.1216901188,440222.4105957013,1.6473290823526672,0.046620046620046623
24.5,7699.855697498129,343245.6454511689,458017.4291890202,1.6924561390579218,0.046620046620046623
