startTime(s),AoINumber,AoIBCEA,AoIBCEADisp,AoILempelZiv
0.0,16.0,4545.441888761345,4300.373216861573,39.0
0.498,17.0,3406.210650092739,3145.6957240307584,38.0
0.996,18.0,3156.4271350939707,3124.380565306712,40.0
1.494,18.0,3717.281616387559,3685.2350466003004,40.0
1.992,19.0,3245.385215057704,3127.018451726994,40.0
2.49,19.0,3184.171334787523,2970.0783417954217,42.0
2.988,19.0,3263.3999112591227,3050.2906597592864,43.0
3.486,21.0,2615.8577287001353,2566.9323959445196,44.0
3.984,21.0,2592.4058182583,2543.480485502685,44.0
4.482,22.0,2458.202761420088,2431.9828388879123,47.0
4.98,21.0,2586.1211096068,2537.1957768511847,44.0
5.478,21.0,2619.0022465216543,2552.9211819547963,44.0
5.976,20.0,2785.1531035622297,2706.2908806945397,43.0
6.474,20.0,2424.1876600391975,2390.384806387512,43.0
6.972,19.0,2535.0238086407676,2475.7263999463594,42.0
7.47,19.0,1953.2443657059262,1899.1690000043109,43.0
7.968,19.0,2149.2712829546576,2089.9738763411556,43.0
8.466,19.0,2233.808052573337,2118.1847380451713,42.0
8.964,19.0,1947.095691997515,1851.0026892558424,42.0
9.462,18.0,2363.378744045381,2180.083108843463,41.0
9.96,18.0,2552.407544802202,2369.1119096002844,40.0
10.458,17.0,3800.906608343163,3399.195046545001,40.0
10.956,16.0,5367.160413158534,4843.565735895638,39.0
11.454,16.0,5482.924475492824,4944.02315320269,38.0
11.952,16.0,5243.369199716387,4768.368767672708,39.0
12.45,17.0,4672.532881868703,4127.113048938602,41.0
12.948,17.0,4711.032766241704,4187.490203476714,41.0
13.446,17.0,4805.880192229516,4325.855144659326,41.0
13.944,18.0,4298.719443827632,3938.2585792953873,42.0
14.442,17.0,5265.443450350225,4785.418402780035,42.0
14.94,15.0,6891.45781730419,5432.406775793989,39.0
15.438,16.0,6049.193496085318,4972.112958205498,40.0
15.936,15.0,6935.399627801964,5427.946377718345,38.0
16.434,14.0,7805.278374623273,4785.317877302404,39.0
16.932,13.0,11526.440804464348,6704.217962704655,38.0
17.43,13.0,12916.063825969653,9337.328528948867,37.0
17.928,13.0,13037.900429399502,9515.507564077532,38.0
18.426,14.0,9850.600352630878,7422.855478720392,38.0
18.924,13.0,10575.836556751867,7053.443691429897,38.0
19.422,13.0,9344.50567560349,5822.112810281519,37.0
19.92,13.0,9283.293328318627,5760.900462996655,37.0
20.418,12.0,10760.761791290262,6922.594234234869,35.0
20.916,11.0,12644.099452739913,8704.176496688537,35.0
21.414,10.0,14071.364329481003,10311.142285768801,33.0
21.912,10.0,13420.7641002947,9777.948882418852,33.0
22.41,10.0,13345.307867522624,9828.026347575584,34.0
22.908,11.0,11966.843131356018,8648.59126980032,34.0
23.406,11.0,10563.023970233908,7988.305036099779,33.0
23.904,11.0,11001.435613484005,8426.716679349876,33.0
24.402,12.0,8207.500427818413,6105.12463929077,36.0
