startTime(s),AoINumber,AoIBCEA,AoIBCEADisp,AoILempelZiv
0.0,21.0,2543.6350342003716,2351.573343703629,44.0
0.498,19.0,2936.150863208819,1910.360218585514,42.0
0.996,18.0,3325.658118769366,2431.571885265172,41.0
1.494,19.0,3127.7293474239887,2609.3542727120303,42.0
1.992,18.0,3442.235474968246,2805.09202890975,41.0
2.49,18.0,3905.642071976157,3011.5558384719616,42.0
2.988,17.0,3316.9856960515126,2361.649626917263,41.0
3.486,18.0,3198.566796128515,2562.6123795311064,41.0
3.984,18.0,3367.840472098019,2847.285069460697,41.0
4.482,19.0,2999.8576454636386,2591.9344013612135,41.0
4.98,19.0,2927.2883859859285,2519.365141883503,42.0
5.478,19.0,3833.2390765050336,3425.315832402609,41.0
5.976,19.0,2854.7156889607486,2422.0444094078625,41.0
6.474,20.0,2962.7160047941725,2445.681559944513,42.0
6.972,19.0,3291.4723920742163,2823.3738853259147,41.0
7.47,20.0,2577.6198107826312,2353.238852576699,42.0
7.968,20.0,2774.8223693634477,2388.495851143126,43.0
8.466,21.0,2204.4573227416154,1833.3332114390803,43.0
8.964,20.0,2685.261095767642,2376.553559376265,42.0
9.462,20.0,2321.152256706938,2012.4447203155614,42.0
9.96,19.0,2577.5488368802876,2325.8384005058815,42.0
10.458,19.0,2487.924136341253,2353.8409649434197,42.0
10.956,18.0,2694.000386903365,2444.688212161419,41.0
11.454,18.0,2742.186601530188,2492.874426788242,41.0
11.952,19.0,2501.652979446818,2338.707363202544,42.0
12.45,19.0,2454.90026004671,2291.9546438024367,42.0
12.948,19.0,2460.8700281157517,2402.292276677972,41.0
13.446,19.0,2239.8783250105557,2076.9327087662814,42.0
13.944,18.0,3491.520113975927,3178.7503167182754,41.0
14.442,18.0,2559.4018852991558,2310.08971055721,41.0
14.94,17.0,3070.6035640341033,2444.465065659499,40.0
15.438,16.0,3498.0171714752823,2972.194594971196,39.0
15.936,16.0,2983.106799590815,2449.2277318713527,38.0
16.434,17.0,2671.1259215740906,2111.3541366280456,40.0
16.932,17.0,2582.107943185456,2195.090646470385,40.0
17.43,16.0,3014.8782724370267,2384.113094484308,39.0
17.928,15.0,3457.849317528,2315.5699774398995,39.0
18.426,15.0,4130.777964565558,3295.191280804937,39.0
18.924,16.0,3323.153457431789,2387.1936048915136,40.0
19.422,15.0,4478.968899896071,3351.1281376803886,39.0
19.92,15.0,4835.694814085148,3454.7318866620294,38.0
20.418,16.0,3992.766658147627,3206.6504115339994,40.0
20.916,16.0,3964.506749786956,2873.1958301439436,39.0
21.414,16.0,2908.7214417352843,2399.339833146264,39.0
21.912,16.0,3305.942045639158,2798.7249550633906,40.0
22.41,17.0,2736.6015837446184,2374.6779125765543,40.0
22.908,16.0,3231.335631979086,2215.0737325574414,40.0
23.406,16.0,3163.3661602571015,2318.533516428656,40.0
23.904,15.0,2969.8591890054768,1984.7788092540738,38.0
24.402,15.0,3608.9422929823945,2623.861913230992,39.0
