startTime(s),AoINumber,AoIBCEA,AoIBCEADisp,AoILempelZiv
0.0,15.0,5414.10064668338,4894.822011625422,37.0
0.498,15.0,4263.390732714195,3744.112097656238,37.0
0.996,16.0,4218.324677697595,3806.714590296293,39.0
1.494,16.0,4991.278813003972,3708.5116049767357,38.0
1.992,16.0,5769.331720273323,4266.984026851078,38.0
2.49,16.0,7250.539652911251,5475.648553427584,38.0
2.988,15.0,7697.464507109786,5698.758434831538,38.0
3.486,15.0,7667.922420316473,5669.216348038226,37.0
3.984,15.0,7544.055234215308,6052.94955683928,38.0
4.482,15.0,7337.971824126147,5915.48489399656,37.0
4.98,15.0,7358.474757821499,5894.981960301208,37.0
5.478,15.0,7154.11696494529,6000.75399811866,36.0
5.976,15.0,7038.869130892566,6134.97507341604,37.0
6.474,14.0,8008.375674297879,5824.454850564557,37.0
6.972,13.0,10081.168056760922,5689.502656670992,36.0
7.47,14.0,9400.718609883275,6031.966801288085,36.0
7.968,15.0,9011.078973792897,6311.175691910364,36.0
8.466,16.0,7046.91906621339,4204.053901581853,38.0
8.964,16.0,6751.911184682258,3784.757110124572,38.0
9.462,16.0,6806.4579813938435,3771.3097275056107,39.0
9.96,18.0,5020.755532189981,3557.8624184100822,39.0
10.458,18.0,4987.797860741843,3491.5446769004943,39.0
10.956,18.0,4787.467876227967,3262.8073608400496,38.0
11.454,17.0,6003.014834644847,4355.7957791142635,39.0
11.952,17.0,5093.627692652964,3337.2717625935074,38.0
12.45,18.0,3494.4913002530925,2715.9207105566165,37.0
12.948,17.0,5381.186400533931,4341.124435662384,36.0
13.446,16.0,6610.432711523625,5315.199723962171,35.0
13.944,15.0,7113.612006733059,5458.019440205572,34.0
14.442,15.0,7019.393020352988,5787.890506515862,35.0
14.94,15.0,6651.616466303325,5007.4711631666005,34.0
15.438,15.0,6545.709871756149,4813.637042073764,34.0
15.936,14.0,8566.564512367153,7251.392835800735,34.0
16.434,14.0,8517.493248081928,7300.464100085961,34.0
16.932,12.0,10538.00735112093,8308.682390148277,32.0
17.43,12.0,10464.420290168831,8235.095329196178,32.0
17.928,12.0,10078.269540582753,8635.847296697853,32.0
18.426,12.0,10059.855361520835,8654.261475759771,31.0
18.924,12.0,10162.727519810736,8551.389317469868,32.0
19.422,12.0,10547.122975536282,8166.993861744321,32.0
19.92,12.0,10353.287520368705,8360.829316911897,32.0
20.418,11.0,11515.169263753336,8523.6807713798,33.0
20.916,12.0,10219.858772635373,8494.258064645232,34.0
21.414,13.0,8981.348287422086,8190.85471294003,34.0
21.912,13.0,8639.23168295529,8289.440503451398,35.0
22.41,13.0,8804.827325827837,8501.597136622306,34.0
22.908,13.0,9207.763057016109,8330.12115357883,34.0
23.406,13.0,11200.655569826939,10214.832288348609,34.0
23.904,15.0,7845.4441960598,6991.064018778579,36.0
24.402,16.0,5654.228841874854,5026.392262831989,37.0
