startTime(s),AoINumber,AoIBCEA,AoIBCEADisp,AoILempelZiv
0.0,10.0,967.5468340347036,756.7321008361539,29.0
0.498,10.0,871.9012006412167,670.6599302692948,28.0
0.996,10.0,865.5561832261795,517.1143149194729,29.0
1.494,10.0,1101.5960387994976,747.7977306327135,30.0
1.992,10.0,1632.1263860578124,1278.3280778910284,31.0
2.49,11.0,1312.22167916351,889.982986647744,31.0
2.988,12.0,969.3022237770473,803.2973784616207,33.0
3.486,12.0,1088.2496419577112,749.3115541719629,32.0
3.984,11.0,4365.582050765846,3734.63987264116,32.0
4.482,10.0,6737.659382082656,6233.794938097235,30.0
4.98,10.0,7081.3687651558985,6577.504321170478,30.0
5.478,11.0,5270.837766348075,4866.451957922939,32.0
5.976,11.0,8027.657212158213,7329.384821649594,32.0
6.474,11.0,5009.880124651819,4219.620444003739,33.0
6.972,11.0,2809.0772626798566,2296.063246675475,33.0
7.47,11.0,3599.0567249702567,2964.965398571108,32.0
7.968,12.0,2627.834472824197,2118.674763116111,34.0
8.466,12.0,6829.468400616751,6251.622023113966,34.0
8.964,12.0,5485.9819681219515,4883.914972366933,34.0
9.462,12.0,5234.773005707818,4719.721870290957,34.0
9.96,12.0,4553.74339147636,3721.4041812372598,34.0
10.458,12.0,5244.369499291702,4029.467594778341,35.0
10.956,12.0,6201.508001829389,4916.68257320362,35.0
11.454,12.0,6190.066158632737,4865.275709051374,35.0
11.952,13.0,8693.949769732273,7485.457226429892,36.0
12.45,13.0,8061.008212108917,7010.567422322788,35.0
12.948,13.0,7257.8694610180055,6056.30691949772,36.0
13.446,13.0,6387.537700146703,5600.966103811954,35.0
13.944,13.0,6605.4751763748,5805.443401909917,36.0
14.442,13.0,7296.263154866411,6268.143348401723,36.0
14.94,12.0,8441.777331718751,6635.580579976762,35.0
15.438,12.0,8832.318946878708,7026.122195136719,35.0
15.936,13.0,7884.176230779776,6002.793431377544,36.0
16.434,13.0,8160.965156084318,6468.62109829795,36.0
16.932,13.0,8210.587259111962,6518.243201325596,37.0
17.43,13.0,8300.575367025262,6428.255093412297,37.0
17.928,13.0,9198.954159556628,7338.0249366436265,37.0
18.426,13.0,9255.984197336147,7342.382470878213,38.0
18.924,13.0,11785.30595357961,10326.12561579911,37.0
19.422,13.0,10787.153290110724,9277.60796373342,36.0
19.92,14.0,9104.465371709493,7239.604285010438,38.0
20.418,14.0,9292.228870067627,7051.840786652304,37.0
20.916,14.0,9285.559531100067,6932.453358476457,37.0
21.414,13.0,10086.021820877377,6842.363801690336,36.0
21.912,11.0,13425.137161539169,9268.372011551402,34.0
22.41,10.0,16542.61133858615,10651.87406293604,32.0
22.908,10.0,14704.10276870969,9517.742347317195,32.0
23.406,11.0,8309.494615397189,3520.2207190764675,34.0
23.904,11.0,8695.473178789356,3666.455650221297,34.0
24.402,11.0,9599.675770942587,4493.349798570723,33.0
