startTime(s),AoINumber,AoIBCEA,AoIBCEADisp,AoILempelZiv
0.0,11.0,4820.950784819716,2251.5899280586,38.0
0.498,11.0,3680.464917824796,2351.704631829778,38.0
0.996,10.0,5054.576409390609,3365.5009390605665,37.0
1.494,9.0,4916.343354046322,2498.2564465333103,37.0
1.992,10.0,4531.318456288808,1269.8632347572152,38.0
2.49,11.0,4368.595956666518,1814.4879356419247,39.0
2.988,10.0,6606.800117044331,3675.072833458682,39.0
3.486,11.0,5111.759401093937,1648.8916887324608,40.0
3.984,12.0,5310.272610221788,3425.485719155861,42.0
4.482,12.0,4863.925767147875,2979.1388760819477,42.0
4.98,12.0,5229.347124045801,2893.156968022626,41.0
5.478,13.0,4573.313492962805,2731.863267920963,43.0
5.976,14.0,4387.715464930784,3239.752636050425,44.0
6.474,13.0,5370.577796236697,3156.6007851472614,43.0
6.972,13.0,5544.481739907143,3657.805344473391,41.0
7.47,13.0,4191.2071782691555,2662.409667961765,42.0
7.968,13.0,4256.32442097565,2701.18201602934,43.0
8.466,14.0,3537.366633380926,2346.803088942596,44.0
8.964,14.0,4024.237439229796,2348.6974854948844,45.0
9.462,14.0,3850.0057870665883,2319.507982871748,43.0
9.96,14.0,3973.5876725941926,2494.1008026336945,44.0
10.458,14.0,4378.391211815676,2885.9060409077865,45.0
10.956,14.0,4258.297069702571,2447.644984900627,45.0
11.454,15.0,3677.1680158282747,2044.15882864865,46.0
11.952,14.0,4938.941043462538,2576.75376886598,45.0
12.45,15.0,4525.316872793622,2136.2974027573273,46.0
12.948,16.0,4470.781644284956,2492.3812403360516,45.0
13.446,16.0,4385.107971831916,2354.7748769738073,46.0
13.944,16.0,4310.386399904327,2243.9293240129573,46.0
14.442,16.0,5297.630440157195,3604.773089115871,46.0
14.94,16.0,5440.794138663316,4151.021211987079,45.0
15.438,16.0,5335.969309485756,3643.1119584444314,45.0
15.936,16.0,5896.462512314122,3628.7909004455632,45.0
16.434,17.0,4264.971100772474,2917.079785590638,45.0
16.932,17.0,5318.0818448128175,3931.919420564381,46.0
17.43,17.0,5292.877780015908,3715.702779523713,46.0
17.928,17.0,5724.667684093123,3957.178458367939,47.0
18.426,17.0,5526.739813121605,3572.4666203600946,46.0
18.924,18.0,5480.147931540748,3499.3202315260446,46.0
19.422,19.0,5048.754152801811,3215.748134308549,48.0
19.92,18.0,5243.310622225319,3453.6831951740082,47.0
20.418,19.0,4355.403002559583,3419.890766726235,49.0
20.916,18.0,4982.350391891265,3665.421087103211,47.0
21.414,16.0,5862.249229541166,4099.594368401284,47.0
21.912,17.0,5157.938607709197,3726.299680146416,46.0
22.41,17.0,5383.508247703326,3842.137757099468,47.0
22.908,18.0,5410.665669131862,3765.9065354868217,49.0
23.406,18.0,5333.090046339802,3877.769469146063,48.0
23.904,17.0,5547.098494918703,4240.20853362889,47.0
24.402,17.0,5584.44088460995,4282.424715824784,46.0
