startTime(s),AoINumber,AoIBCEA,AoIBCEADisp,AoILempelZiv
0.0,12.0,12583.501049183726,8899.7278195957,26.0
0.498,12.0,11861.594044924457,9442.665806391586,27.0
0.996,12.0,11847.106159213168,9100.689653545372,25.0
1.494,12.0,11102.23141828973,9716.333240829028,25.0
1.992,11.0,12335.759937305866,10081.770110144866,23.0
2.49,10.0,15317.057579626353,12285.722413758493,22.0
2.988,10.0,15861.32448550014,12829.989319632283,22.0
3.486,10.0,15373.25727787122,13318.056527261204,22.0
3.984,10.0,17905.44370914913,15850.242958539113,22.0
4.482,9.0,20440.523160867277,16745.160698122814,20.0
4.98,9.0,21465.269453721543,15720.414405268551,21.0
5.478,8.0,25098.99894154212,17672.10398488656,20.0
5.976,7.0,30857.05096926744,21697.048781521626,19.0
6.474,7.0,29707.71308489487,20547.710897149056,19.0
6.972,6.0,41140.68528898665,29784.98797937739,18.0
7.47,7.0,29913.625730613974,25217.383463346192,20.0
7.968,7.0,31365.019285428316,26668.777018160534,19.0
8.466,7.0,31295.69530554667,26599.453038278887,18.0
8.964,7.0,31815.882873518596,26061.061644622718,18.0
9.462,7.0,31683.01795901865,25928.196730122778,17.0
9.96,6.0,41819.93734674987,28409.496802930644,17.0
10.458,7.0,33123.4351010552,25175.25444677886,18.0
10.956,6.0,35552.848799418214,29805.491785934642,17.0
11.454,6.0,36135.91079321452,29222.429792138337,17.0
11.952,6.0,33117.5781133249,26204.097112248714,16.0
12.45,6.0,33453.88265608572,25590.171901012407,17.0
12.948,6.0,34088.38560067155,24955.66895642657,16.0
13.446,7.0,20614.723933432662,18084.240695217428,16.0
13.944,5.0,65420.075287699525,50562.58041064408,14.0
14.442,4.0,110572.84640323183,34894.598384771336,13.0
14.94,4.0,105412.22678822509,29733.978769764602,13.0
15.438,4.0,87879.73492580741,41035.96313011842,12.0
15.936,4.0,71219.04303906346,43868.729965144026,12.0
16.434,4.0,72308.55363550241,44958.24056158298,13.0
16.932,4.0,49765.913161757955,40058.97882234109,13.0
17.43,4.0,49329.98113258035,47756.326939799816,12.0
17.928,4.0,60074.47904554983,37011.829026830346,13.0
18.426,4.0,64179.800018270114,36829.48694435068,13.0
18.924,4.0,61890.87160912233,45738.508166668624,13.0
19.422,4.0,59799.92949979091,50970.32388174713,13.0
19.92,4.0,61001.644088105306,52172.038470061525,13.0
20.418,4.0,64120.657333441464,55291.05171539768,13.0
20.916,4.0,64120.657333441464,55291.05171539768,13.0
21.414,4.0,68949.50157516182,50462.207473677336,14.0
21.912,4.0,68949.50157516182,50462.207473677336,14.0
22.41,4.0,72037.89662005802,53550.60251857355,14.0
22.908,4.0,79597.53886387033,45990.96027476122,15.0
23.406,4.0,79597.53886387033,45990.96027476122,15.0
23.904,4.0,69556.99884578145,46529.63949409571,13.0
24.402,4.0,67527.08812831035,44499.7287766246,14.0
