startTime(s),AoINumber,AoIBCEA,AoIBCEADisp,AoILempelZiv
0.0,19.0,6135.6586586172,5256.163464065266,43.0
0.498,20.0,5408.615520120295,4491.078129445055,44.0
0.996,20.0,5449.1315936304445,4321.300348336585,44.0
1.494,19.0,6163.218644293492,5109.727112959997,44.0
1.992,19.0,6195.737384387212,4951.026542997133,42.0
2.49,20.0,5893.076109385538,5054.176283371993,43.0
2.988,18.0,7272.498909667967,5550.205836122869,41.0
3.486,18.0,7525.557525942767,6222.032275820584,41.0
3.984,19.0,5699.52023609747,4696.140799239271,42.0
4.482,19.0,6473.935895382488,5045.420670260466,42.0
4.98,18.0,7088.010578821778,5534.980071452016,41.0
5.478,16.0,8171.895120754673,5805.56702208818,39.0
5.976,16.0,9602.125597226619,6186.671479682216,39.0
6.474,16.0,7570.453602727946,5141.793424870062,39.0
6.972,16.0,7448.8527836216645,5053.644418394551,39.0
7.47,15.0,8039.980489738953,5132.144486555299,38.0
7.968,14.0,11459.334088542291,6614.48478188907,39.0
8.466,15.0,9073.019323542752,6296.087923951339,39.0
8.964,13.0,12580.759466131472,7078.086403924277,38.0
9.462,14.0,10377.492833280992,7084.6534374584635,39.0
9.96,14.0,10226.222664957388,7235.923605782067,39.0
10.458,14.0,10066.64981225091,5988.650989741519,39.0
10.956,14.0,10294.390132757235,6216.3913102478455,39.0
11.454,15.0,10017.29031181336,6754.303020458554,41.0
11.952,15.0,10564.46671600559,7059.825243619303,40.0
12.45,16.0,9810.340839642022,6930.7804717861345,42.0
12.948,15.0,10840.295395090934,7836.936038072581,41.0
13.446,17.0,7132.262177974579,5254.075411524238,42.0
13.944,17.0,7184.510097008073,5191.4695851128945,42.0
14.442,17.0,8809.356910572114,7432.573373405392,43.0
14.94,17.0,8889.110137613441,7512.326600446717,42.0
15.438,16.0,9400.48038247723,7791.222527092996,42.0
15.936,16.0,7338.89896475342,5578.690822566528,42.0
16.434,17.0,6468.912901468258,5382.8368185723675,41.0
16.932,17.0,6517.553495091242,5431.477412195353,42.0
17.43,17.0,6646.3852109841755,5774.085942664735,41.0
17.928,17.0,5380.894764539365,4508.595496219925,41.0
18.426,17.0,5262.098420471067,4017.0170733007158,41.0
18.924,17.0,5441.327771629949,4348.139416973875,42.0
19.422,18.0,4661.493372556406,3847.923158864515,42.0
19.92,17.0,4304.809597874955,3253.0997478427175,43.0
20.418,18.0,3717.970827494971,3081.3250320191673,42.0
20.916,18.0,4026.1806131590533,2995.0526718887268,42.0
21.414,18.0,4207.421834919559,3176.2938936492324,41.0
21.912,19.0,3996.401068735389,3169.743759644685,42.0
22.41,20.0,3719.4921393993545,3203.007829890084,43.0
22.908,19.0,4819.306605618145,4399.626084992643,42.0
23.406,19.0,4496.212732563414,4102.028064804719,42.0
23.904,18.0,4806.390334725234,3942.3407166140637,42.0
24.402,18.0,4431.727809528273,3620.4856194413182,42.0
