startTime(s),AoINumber,AoIBCEA,AoIBCEADisp,AoILempelZiv
0.0,1.0,201.67785160473193,0.0,3.0
1.61,,,,
3.22,,,,
4.83,2.0,35.375960861443694,0.04118355101616089,4.0
6.44,3.0,40.73774960722661,33.52905186218683,6.0
8.05,3.0,40.73774960722661,33.52905186218683,6.0
9.66,2.0,60.82386436838205,50.073168283529355,5.0
11.27,3.0,18.35627261805044,4.438954626581062,7.0
12.88,3.0,40.45517580211267,26.53785781064329,8.0
14.49,3.0,40.45517580211267,26.53785781064329,8.0
16.1,3.0,106.26843454642011,65.52480364242354,9.0
17.71,4.0,66.62212204652468,56.57075655170273,11.0
19.32,5.0,40.65051239408866,21.393300279982174,14.0
20.93,5.0,50.89626999127209,30.18980416280821,14.0
22.54,5.0,66.4792022939245,25.800781588919087,14.0
24.15,5.0,79.77088426276893,46.294130187012186,14.0
25.76,6.0,40.05003794567142,26.943754648032183,15.0
27.37,7.0,30.96180322752399,25.762568272144016,16.0
28.98,7.0,31.265076888194926,26.065841932814955,17.0
30.59,6.0,39.639655382124026,26.226952218125827,16.0
32.2,8.0,20.259351269360145,13.740519620426747,18.0
33.81,8.0,23.31373415688977,15.497567127562297,19.0
35.42,7.0,37.06019407036511,21.212993930151395,18.0
37.03,6.0,54.73099328583072,41.382896522646774,17.0
38.64,6.0,55.07334316022381,46.96297940996169,17.0
40.25,6.0,47.628509888980226,39.518146138718095,15.0
41.86,6.0,45.89195215906403,37.7815884088019,16.0
43.47,5.0,44.63714102659099,37.23060271600159,13.0
45.08,8.0,10.400009093142957,7.439268078117096,16.0
46.69,8.0,10.286364477834624,8.476109463285013,16.0
48.3,8.0,11.836147150338487,9.699609101211436,17.0
49.91,7.0,20.086266326139526,13.196172838890805,17.0
51.52,6.0,30.241612893976466,23.54753530337064,16.0
53.13,5.0,28.481046856198258,12.680118806035102,15.0
54.74,5.0,45.52017840281653,26.80925188092143,15.0
56.35,4.0,53.03272299529725,27.517340744161096,15.0
57.96,5.0,41.83502214574954,32.84490730612772,15.0
59.57,5.0,25.4226346177077,15.311735971602436,14.0
61.18,7.0,12.789958343313726,11.853089286921634,17.0
62.79,7.0,19.29530717105309,13.22039415697982,19.0
64.4,7.0,22.88302094075745,16.125377555875534,20.0
66.01,7.0,19.447831081408516,12.174301802707891,18.0
67.62,6.0,41.6730767852912,33.57234767556492,17.0
69.23,6.0,41.190585511415385,32.09133818990123,16.0
70.84,5.0,67.05424628732659,44.56655441295966,16.0
72.45,5.0,70.80638482292434,44.57474498420007,16.0
74.06,5.0,65.70851540154635,44.57474498420007,15.0
75.67,4.0,99.76051227500253,47.538163959778885,13.0
77.28,4.0,81.37936151572774,27.151786654086656,14.0
78.89,4.0,75.25264710517897,22.69224927764874,13.0
